id,raw_sentence,processed_sentence
194,"And , he did n't think he needed to know anything about South Asia , with its nuclear giants and radical religious politics -- the latter a dire security threat to the US .",think need know anything south asia nuclear giant radical religious politics latter dire security threat us
195,He could n't tell when things were becoming more unstable as opposed to less .,could tell thing become unstable oppose less
196,"Musharraf went on to play nuclear brinkmanship with India in 2002 , risking war twice that year .",musharraf go play nuclear brinkmanship india risk war twice year
197,"Although Musharraf did turn against the Taliban after September 11 , under extreme duress from the US , elements of his military continued to support radical Islamism and have recently been implicated in assassination attempts on Musharraf himself .",although musharraf turn taliban september extreme duress us element military continue support radical islamism recently implicate assassination attempt musharraf
198,"This was the body that Bush proclaimed was bringing "" stability "" to the region in fall of 1999 .",body bush proclaim bring stability region fall
199,"So , one answer to Bush 's charge about Edwards is that if it had any merit , Bush should have declined to run himself .",one answer bush 's charge edwards merit bush decline run
200,Another answer is that Edwards certainly knows far more about foreign affairs now than Bush did then .,another answer edwards certainly know far foreign affair bush
201,"Indeed , given how Bush has rampaged around the world alienating allies and ignoring vital conflicts with the potential to blow back on the US , one might well argue that Edwards knows more now than Bush does .",indeed give bush rampage around world alienate ally ignore vital conflict potential blow back us one might well argue edwards know bush
202,"This is what Edwards ' campaign literature said about his positions : "" Edwards believes that the U.S. must be an active leader to help resolve conflicts , from reducing tensions between India and Pakistan to the peace process in Northern Ireland .",edwards 's campaign literature say position edwards believe u.s. must active leader help resolve conflict reduce tension india pakistan peace process northern ireland
203,"Edwards is a strong supporter of Israel , and believes that the U.S. has a vital role in promoting peace between the Israelis and the Palestinians . """,edwards strong supporter israel believe u.s. vital role promote peace israeli palestinian
204,I do n't see Bush doing any of this .,see bush
205,From Friday 's Daily Star,friday 's daily star
206,By Juan Cole,juan cole
207,"Friday , June 04 , 2004",friday june
208,"As the American public gradually wearies of the Iraq crisis , some have begun worrying that the war could blow back on the US by creating the conditions for anti-American terrorism .",american public gradually weary iraq crisis begin worry war could blow back us create condition anti-american terrorism
209,"Israel , however , is much closer to Iraq and is likely to suffer from Iraqi instability much more acutely than will the United States .",israel however much close iraq likely suffer iraqi instability much acutely united state
210,"Ironically , among the strongest proponents of war in Iraq were Israeli Prime Minister Ariel Sharon and his neoconservative supporters in the US .",ironically among strong proponent war iraq israeli prime minister ariel sharon neoconservative supporter us
211,"Have they , however , actually weakened Israeli security ?",however actually weaken israeli security
212,The biggest threat Israel faces is not from conventional armies but from the asymmetrical tactics of Palestinian national liberation movements .,big threat israel face conventional army asymmetrical tactic palestinian national liberation movement
213,The derailing of the Oslo peace process by the hard - line policies of Sharon and the Palestinian intifada has encouraged suicide bombings .,derailing oslo peace process hard line policy sharon palestinian intifada encourage suicide bombing
214,"This , in turn , has discouraged international investment in Israel and has made it less likely that immigrants to the country will actually remain there .",turn discourage international investment israel make less likely immigrant country actually remain
215,"Although Israel withdrew from Lebanese territory in May 2000 , the radical Lebanese Shiite party , Hizbullah , has not been mollified .",although israel withdraw lebanese territory may radical lebanese shiite party hizbullah mollify
216,"It is estimated to have some 5,000 armed fighters , and they have pursued attacks against Israeli forces to compel them to withdraw from the Shebaa Farms , a sliver of Syrian territory that Israel annexed after the 1967 war .",estimate armed fighter pursue attack israeli force compel withdraw shebaa farm sliver syrian territory israel annex war
217,"Any thorough assessment of the impact of the Iraq war and its aftermath on Israel 's security environment must , therefore , closely examine its likely effect on the conduct of asymmetrical warfare .",thorough assessment impact iraq war aftermath israel 's security environment must therefore closely examine likely effect conduct asymmetrical warfare
218,"Although it is often alleged ( without much evidence ) that Saddam Hussein gave money to the families of Palestinian suicide bombers and so encouraged asymmetrical warfare , it is not clear that he actually posed a danger to Israel .",although often allege without much evidence saddam hussein give money family palestinian suicide bomber encourage asymmetrical warfare clear actually pose danger israel
